iter	Logloss
0	0.6850687219
1	0.6764172217
2	0.6680061972
3	0.6607689927
4	0.6521295352
5	0.6462002795
6	0.6413919227
7	0.6354927708
8	0.6302050013
9	0.6244290642
10	0.6201711263
11	0.6149914548
12	0.610676034
13	0.6053316277
14	0.6001463873
15	0.5943481348
16	0.5903922092
17	0.5868969052
18	0.5829075412
19	0.5797333699
20	0.5748589325
21	0.570992979
22	0.567012285
23	0.5636624627
24	0.5614903257
25	0.5586417511
26	0.5552378205
27	0.5525294457
28	0.5502587724
29	0.5463776109
30	0.5436381884
31	0.5412369425
32	0.5383766974
33	0.5359725907
34	0.5339081419
35	0.5305695105
36	0.5269891039
37	0.5248353886
38	0.5227609463
39	0.5205994975
40	0.5182769351
41	0.5160218025
42	0.5139211646
43	0.5124824524
44	0.5105137619
45	0.5080393207
46	0.5067705717
47	0.5051021087
48	0.5038666372
49	0.5023893505
50	0.5012770746
51	0.4989359085
52	0.4976286585
53	0.4959934493
54	0.4950566276
55	0.4935764597
56	0.4926758246
57	0.49154161
58	0.4902964622
59	0.4894393729
60	0.4882424588
61	0.4875381907
62	0.4867932129
63	0.4858803042
64	0.4842219676
65	0.4827526173
66	0.4821789262
67	0.481325948
68	0.480066578
69	0.4791772911
70	0.4778990717
71	0.4771110454
72	0.4759937189
73	0.4748824819
74	0.4740195523
75	0.4732427176
76	0.4726866252
77	0.47174665
78	0.4703559484
79	0.4698935329
80	0.4686426045
81	0.4674819104
82	0.4666802298
83	0.4657552322
84	0.4649632693
85	0.4644021151
86	0.4636447946
87	0.4629404871
88	0.4622924104
89	0.4621505091
90	0.4614363167
91	0.4612965674
92	0.460656023
93	0.4600215749
94	0.4586848702
95	0.4583573966
96	0.4575923257
97	0.4566836568
98	0.4563465137
99	0.4559939909
