iter	Passed	Remaining
0	0	65
1	1	53
2	1	52
3	2	51
4	2	50
5	3	47
6	3	45
7	4	46
8	4	45
9	4	44
10	5	44
11	5	43
12	6	42
13	6	42
14	7	41
15	7	40
16	8	39
17	8	38
18	9	38
19	9	37
20	10	38
21	10	37
22	11	37
23	11	36
24	12	37
25	12	36
26	13	36
27	13	35
28	14	34
29	14	34
30	14	33
31	15	32
32	15	31
33	16	31
34	16	30
35	16	30
36	17	29
37	17	28
38	18	28
39	18	27
40	18	26
41	19	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	21	22
49	22	22
50	22	21
51	22	21
52	23	20
53	23	20
54	24	19
55	24	19
56	24	18
57	25	18
58	26	18
59	26	17
60	26	17
61	27	16
62	27	16
63	28	15
64	28	15
65	28	14
66	29	14
67	29	13
68	29	13
69	30	13
70	30	12
71	30	12
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	34	7
82	34	7
83	35	6
84	35	6
85	35	5
86	36	5
87	36	4
88	36	4
89	37	4
90	37	3
91	37	3
92	38	2
93	38	2
94	38	2
95	39	1
96	39	1
97	39	0
98	40	0
99	40	0
